EVENT,MARK,ATHLETE,COUNTRY,VENUE,Latitude,Longitude,DATE
100 Metres,10.49,Florence GRIFFITH-JOYNER,USA,"Indianapolis, IN (USA)",39.768403,-86.158068,16 JUL 1988
200 Metres,21.34,Florence GRIFFITH-JOYNER,USA,"Olympic Stadium, Jamsil, Seoul (KOR)",37.5158376,127.0727986,29 SEP 1988
400 Metres,47.60,Marita KOCH,GDR,"Bruce Stadium, Canberra (AUS)",-35.2499912,149.1027036,06 OCT 1985
800 Metres,1:53.28,Jarmila KRATOCHVÍLOVÁ,TCH,München (GER),48.1351253,11.5819806,26 JUL 1983
1000 Metres,2:28.98,Svetlana MASTERKOVA,RUS,Bruxelles (BEL),50.8476424,4.3571696,23 AUG 1996
1500 Metres,3:50.07,Genzebe DIBABA,ETH,"Stade Louis II, Monaco (MON)",43.7275817,7.4156038,17 JUL 2015
1500 Metres,3:49.11 *,Faith KIPYEGON,KEN,"Stadio Luigi Ridolfi, Firenze (ITA)",43.7783792,11.2803596,02 JUN 2023
One Mile,4:12.33,Sifan HASSAN,NED,"Stade Louis II, Monaco (MON)",43.7275817,7.4156038,12 JUL 2019
2000 Metres,5:21.56,Francine NIYONSABA,BDI,"Sports Park Mladost, Zagreb (CRO)",45.7826497,15.9429987,14 SEP 2021
3000 Metres,8:06.11,Junxia WANG,CHN,Beijing (CHN),39.904211,116.407395,13 SEP 1993
5000 Metres,14:06.62,Letesenbet GIDEY,ETH,"Estadio de Atletismo del Turia, Valencia (ESP)",39.47721,-0.39313,07 OCT 2020
5 Kilometres,14:29 Wo,Senbere TEFERI,ETH,Herzogenaurach (GER),49.5682987,10.8828577,12 SEP 2021
5 Kilometres,14:19 Mx,Ejgayehu TAYE,ETH,Barcelona (ESP),41.3873974,2.168568,31 DEC 2021
"10,000 Metres",29:01.03,Letesenbet GIDEY,ETH,"Blankers-Koen Stadion, Hengelo (NED)",52.2530971,6.8065023,08 JUN 2021
10 Kilometres,30:01 Wo,Agnes Jebet TIROP,KEN,Herzogenaurach (GER),49.5682987,10.8828577,12 SEP 2021
10 Kilometres,29:38 Mx *,Kalkidan GEZAHEGNE,BRN,Genève (SUI),46.2043907,6.1431577,03 OCT 2021
10 Kilometres,29:14 Mx,Yalemzerf YEHUALAW,ETH,Castellón (ESP),39.9837993,0.0209881,27 FEB 2022
One Hour,18930,Sifan HASSAN,NED,"Boudewijnstadion, Bruxelles (BEL)",50.8957028,4.3340679,04 SEP 2020
Half Marathon,1:05:16 Wo,Peres JEPCHIRCHIR,KEN,Gdynia (POL),54.5188898,18.5305409,17 OCT 2020
Half Marathon,1:02:52 Mx,Letesenbet GIDEY,ETH,Valencia (ESP),39.4699075,-0.3762881,24 OCT 2021
Marathon,2:14:04 Mx,Brigid KOSGEI,KEN,"Chicago, IL (USA)",41.8781136,-87.6297982,13 OCT 2019
Marathon,2:17:01 Wo,Mary Jepkosgei KEITANY,KEN,London (GBR),51.5072178,-0.1275862,23 APR 2017
50 Kilometres,2:59:54 Mx,Desiree LINDEN,USA,"Dorena Lake, Oregon (USA)",43.7731759,-122.9224375,13 APR 2021
50 Kilometres,3:00:30 Wo,Emane SEIFU,ETH,Gqeberha (RSA),-33.9608369,25.6022423,26 FEB 2023
100 Kilometres,6:33:11 Mx,Tomoe ABE,JPN,Lake Saroma (JPN),44.1312174,143.8024769,25 JUN 2000
3000 Metres Steeplechase,8:44.32,Beatrice CHEPKOECH,KEN,"Stade Louis II, Monaco (MON)",43.7275817,7.4156038,20 JUL 2018
100 Metres Hurdles,12.12,Tobi AMUSAN,NGR,"Hayward Field, Eugene, OR (USA)",44.0424068,-123.070692,24 JUL 2022
400 Metres Hurdles,50.68,Sydney MCLAUGHLIN,USA,"Hayward Field, Eugene, OR (USA)",44.0424068,-123.070692,22 JUL 2022
High Jump,2.09,Stefka KOSTADINOVA,BUL,"Stadio Olimpico, Roma (ITA)",41.9339383,12.4547979,30 AUG 1987
Pole Vault,5.06,Yelena ISINBAYEVA,RUS,"Letzigrund, Zürich (SUI)",47.3826664,8.5038076,28 AUG 2009
Long Jump,7.52,Galina CHISTYAKOVA,URS,Leningrad (URS),59.9342596,30.3350941,11 JUN 1988
Triple Jump,15.74 (i),Yulimar ROJAS,VEN,"Štark Arena, Beograd (SRB)",44.8141461,20.4212894,20 MAR 2022
